team_a,team_b,latitude_a,longitude_a,latitude_b,longitude_b,travel_distance,travel_duration
coventry-city,southampton-fc,52.406822,-1.519693,50.9291132,-1.47131,201767.0,7618.0
coventry-city,tottenham-hotspur,52.406822,-1.519693,51.6032123,-0.0657389,158259.0,7350.0
coventry-city,queens-park-rangers,52.406822,-1.519693,51.5092767,-0.2321123,165713.0,6384.0
coventry-city,manchester-united,52.406822,-1.519693,53.4636889,-2.2914568,171551.0,7273.0
coventry-city,luton-town,52.406822,-1.519693,51.8786707,-0.4200255,105395.0,4500.0
coventry-city,arsenal-fc,52.406822,-1.519693,51.5548527,-0.1091085,152188.0,6853.0
coventry-city,aston-villa,52.406822,-1.519693,53.19753,-3.040541,189260.0,7502.0
coventry-city,chelsea-fc,52.406822,-1.519693,51.4820834,-0.1913183,173382.0,7032.0
coventry-city,crystal-palace,52.406822,-1.519693,51.4198825,-0.0785415,185234.0,8980.0
coventry-city,derby-county,52.406822,-1.519693,53.1046782,-1.5623885,103264.0,5138.0
coventry-city,nottingham-forest,52.406822,-1.519693,53.0113911,-1.1868616,90801.0,4454.0
coventry-city,charlton-athletic,52.406822,-1.519693,51.4866871,0.0358469,190213.0,8300.0
coventry-city,everton-fc,52.406822,-1.519693,53.3573617,-2.8137713,174522.0,7232.0
coventry-city,norwich-city,52.406822,-1.519693,52.6308859,1.297355,232458.0,10016.0
coventry-city,millwall-fc,52.406822,-1.519693,51.48586599999999,-0.05092439999999999,180730.0,8937.0
coventry-city,sheffield-wednesday,52.406822,-1.519693,53.41143169999999,-1.5006631,151819.0,6795.0
coventry-city,sheffield-united,52.406822,-1.519693,53.3703762,-1.4715037,149383.0,6515.0
coventry-city,sunderland-afc,52.406822,-1.519693,54.913899,-1.387941,324955.0,12847.0
coventry-city,leeds-united,52.406822,-1.519693,53.77780199999999,-1.572179,193198.0,7821.0
coventry-city,west-ham-united,52.406822,-1.519693,51.53195669999999,0.0394024,180825.0,7569.0
coventry-city,oldham-athletic,52.406822,-1.519693,53.55507,-2.128324,192368.0,8191.0
coventry-city,notts-county,52.406822,-1.519693,52.9546639,-1.1580059,81512.0,4160.0
coventry-city,middlesbrough-fc,52.406822,-1.519693,54.5780389,-1.2176404,285537.0,11128.0
coventry-city,blackburn-rovers,52.406822,-1.519693,53.7285943,-2.4891959,208475.0,8422.0
coventry-city,ipswich-town,52.406822,-1.519693,52.056736,1.14822,216636.0,9212.0
coventry-city,swindon-town,52.406822,-1.519693,51.55577390000001,-1.7797176,138214.0,6196.0
coventry-city,newcastle-united,52.406822,-1.519693,54.9750986,-1.623124,344287.0,13658.0
coventry-city,leicester-city,52.406822,-1.519693,52.6368778,-1.1397592,39794.0,2625.0
coventry-city,bolton-wanderers,52.406822,-1.519693,53.5813723,-2.5369749,191759.0,7848.0
coventry-city,bradford-city,52.406822,-1.519693,53.795984,-1.759398,216068.0,9260.0
coventry-city,birmingham-city,52.406822,-1.519693,52.48624299999999,-1.890401,33686.0,1847.0
coventry-city,west-bromwich-albion,52.406822,-1.519693,52.517664,-1.995159,43306.0,2853.0
coventry-city,fulham-fc,52.406822,-1.519693,51.4744751,-0.220554,172656.0,6939.0
coventry-city,portsmouth-fc,52.406822,-1.519693,50.7963372,-1.0637899,229625.0,8795.0
coventry-city,wolverhampton-wanderers,52.406822,-1.519693,52.5683233,-2.1270034,75451.0,3837.0
coventry-city,wigan-athletic,52.406822,-1.519693,53.54703379999999,-2.6545208,173976.0,7294.0
coventry-city,reading-fc,52.406822,-1.519693,51.42239319999999,-0.9826326000000001,158376.0,6178.0
coventry-city,watford-fc,52.406822,-1.519693,51.6502945,-0.4025551,132063.0,5446.0
coventry-city,stoke-city,52.406822,-1.519693,53.002668,-2.179404,101490.0,4166.0
coventry-city,hull-city,52.406822,-1.519693,53.7456709,-0.3367413,199572.0,9305.0
coventry-city,burnley-fc,52.406822,-1.519693,53.7890244,-2.2301736,228193.0,9249.0
coventry-city,blackpool-fc,52.406822,-1.519693,53.8048707,-3.0481407,231492.0,9192.0
coventry-city,swansea-city,52.406822,-1.519693,51.62144,-3.943645999999999,252609.0,10656.0
coventry-city,cardiff-city,52.406822,-1.519693,51.48158100000001,-3.17909,195490.0,8503.0
coventry-city,afc-bournemouth,52.406822,-1.519693,50.73523059999999,-1.8382791,240506.0,8960.0
coventry-city,huddersfield-town,52.406822,-1.519693,53.645792,-1.7850351,188457.0,8897.0
coventry-city,manchester-city,52.406822,-1.519693,53.4807593,-2.2426305,168140.0,7604.0
coventry-city,barnsley-fc,52.406822,-1.519693,53.551742,-1.468189,163724.0,7032.0
queens-park-rangers,liverpool-fc,51.5092767,-0.2321123,53.4302084,-2.9621378,345409.0,13509.0
queens-park-rangers,southampton-fc,51.5092767,-0.2321123,50.9291132,-1.47131,124632.0,5408.0
queens-park-rangers,tottenham-hotspur,51.5092767,-0.2321123,51.6032123,-0.0657389,27988.0,2777.0
queens-park-rangers,coventry-city,51.5092767,-0.2321123,52.406822,-1.519693,164313.0,6262.0
queens-park-rangers,manchester-united,51.5092767,-0.2321123,53.4636889,-2.2914568,330350.0,12748.0
queens-park-rangers,luton-town,51.5092767,-0.2321123,51.8786707,-0.4200255,53863.0,2871.0
queens-park-rangers,arsenal-fc,51.5092767,-0.2321123,51.5548527,-0.1091085,13269.0,2094.0
queens-park-rangers,aston-villa,51.5092767,-0.2321123,53.19753,-3.040541,348060.0,12976.0
queens-park-rangers,chelsea-fc,51.5092767,-0.2321123,51.4820834,-0.1913183,7081.0,1312.0
queens-park-rangers,crystal-palace,51.5092767,-0.2321123,51.4198825,-0.0785415,18289.0,3149.0
queens-park-rangers,derby-county,51.5092767,-0.2321123,53.1046782,-1.5623885,234731.0,10157.0
queens-park-rangers,nottingham-forest,51.5092767,-0.2321123,53.0113911,-1.1868616,214509.0,9068.0
queens-park-rangers,charlton-athletic,51.5092767,-0.2321123,51.4866871,0.0358469,24497.0,4259.0
queens-park-rangers,everton-fc,51.5092767,-0.2321123,53.3573617,-2.8137713,333321.0,12707.0
queens-park-rangers,norwich-city,51.5092767,-0.2321123,52.6308859,1.297355,200237.0,9342.0
queens-park-rangers,millwall-fc,51.5092767,-0.2321123,51.48586599999999,-0.05092439999999999,16934.0,3150.0
queens-park-rangers,sheffield-wednesday,51.5092767,-0.2321123,53.41143169999999,-1.5006631,275527.0,11409.0
queens-park-rangers,sheffield-united,51.5092767,-0.2321123,53.3703762,-1.4715037,273091.0,11129.0
queens-park-rangers,sunderland-afc,51.5092767,-0.2321123,54.913899,-1.387941,448663.0,17461.0
queens-park-rangers,leeds-united,51.5092767,-0.2321123,53.77780199999999,-1.572179,316906.0,12435.0
queens-park-rangers,west-ham-united,51.5092767,-0.2321123,51.53195669999999,0.0394024,43362.0,3482.0
queens-park-rangers,oldham-athletic,51.5092767,-0.2321123,53.55507,-2.128324,351167.0,13666.0
queens-park-rangers,notts-county,51.5092767,-0.2321123,52.9546639,-1.1580059,205220.0,8774.0
queens-park-rangers,middlesbrough-fc,51.5092767,-0.2321123,54.5780389,-1.2176404,409245.0,15742.0
queens-park-rangers,blackburn-rovers,51.5092767,-0.2321123,53.7285943,-2.4891959,367275.0,13896.0
queens-park-rangers,ipswich-town,51.5092767,-0.2321123,52.056736,1.14822,148141.0,7721.0
